
Intensity StdDev Ch=4 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
153.407,,Spot,4,Image 1,2,4033,
94.4766,,Spot,4,Image 1,2,4047,
84.8348,,Spot,4,Image 1,2,4048,
95.3675,,Spot,4,Image 1,2,4051,
174.228,,Spot,4,Image 1,2,4052,
58.4345,,Spot,4,Image 1,2,4053,
84.0683,,Spot,4,Image 1,2,4056,
133.315,,Spot,4,Image 1,2,4058,
49.7089,,Spot,4,Image 1,2,4059,
83.6757,,Spot,4,Image 1,2,4062,
100.393,,Spot,4,Image 1,2,4064,
144.466,,Spot,4,Image 1,2,4079,
77.8326,,Spot,4,Image 1,2,4081,
152.141,,Spot,4,Image 1,2,4082,
64.0204,,Spot,4,Image 1,2,4083,
94.3837,,Spot,4,Image 1,2,4085,
59.1752,,Spot,4,Image 1,2,4088,
147.399,,Spot,4,Image 1,2,4090,
124.711,,Spot,4,Image 1,2,4092,
127.925,,Spot,4,Image 1,2,4103,
98.7781,,Spot,4,Image 1,2,4104,
112.339,,Spot,4,Image 1,2,4107,
49.9034,,Spot,4,Image 1,2,4109,
144.664,,Spot,4,Image 1,2,4121,
141.53,,Spot,4,Image 1,2,4122,
140.037,,Spot,4,Image 1,2,4125,
162.284,,Spot,4,Image 1,2,4129,
69.5771,,Spot,4,Image 1,2,4138,
125.746,,Spot,4,Image 1,2,4140,
116.9,,Spot,4,Image 1,2,4141,
138.567,,Spot,4,Image 1,2,4146,
135.263,,Spot,4,Image 1,2,4148,
89.3476,,Spot,4,Image 1,2,4150,
60.4531,,Spot,4,Image 1,2,4151,
65.7532,,Spot,4,Image 1,2,4152,
65.1255,,Spot,4,Image 1,2,4158,
218.919,,Spot,4,Image 1,2,4160,
